year,source,metric,value_tonnes
1699,castaneda_2013,production_tonnes,10.76
1699,castaneda_2013,stock_lower,2665.13
1699,castaneda_2013,stock_upper,2931.1
1700,castaneda_2013,production_tonnes,10.76
1700,castaneda_2013,stock_lower,2675.9
1700,castaneda_2013,stock_upper,2941.9
1701,castaneda_2013,production_tonnes,12.82
1701,castaneda_2013,stock_lower,2688.72
1701,castaneda_2013,stock_upper,2954.7
1702,castaneda_2013,production_tonnes,12.82
1702,castaneda_2013,stock_lower,2701.54
1702,castaneda_2013,stock_upper,2967.5
1703,castaneda_2013,production_tonnes,12.82
1703,castaneda_2013,stock_lower,2714.36
